tick,matchID,roundNum,steamID,hp,armor,totalUtility,isAlive,isInBombZone,equipmentValue,cash,hasHelmet,hasDefuse,hasBomb,created_at,updated_at
10353,demo1,1,76561198079077881,100,100,0,True,False,850,150,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10353,demo1,1,76561198111401075,100,0,2,True,False,700,300,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10353,demo1,1,76561198063258189,100,0,1,True,False,800,0,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10353,demo1,1,76561198093070343,100,100,0,True,False,850,150,False,False,True,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10353,demo1,1,76561198335544686,100,0,2,True,False,800,0,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10353,demo1,1,76561198055688473,100,100,1,True,False,900,100,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10353,demo1,1,76561198321262942,100,0,2,True,False,800,0,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10353,demo1,1,76561198298247531,100,100,0,True,False,850,150,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10353,demo1,1,76561198000399858,100,100,0,True,False,850,150,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10353,demo1,1,76561198839012235,100,100,0,True,False,850,150,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10865,demo1,1,76561198063258189,100,0,1,True,False,800,0,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10865,demo1,1,76561198093070343,100,100,0,True,False,850,150,False,False,True,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10865,demo1,1,76561198111401075,100,0,2,True,False,700,300,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10865,demo1,1,76561198079077881,100,100,0,True,False,850,150,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10865,demo1,1,76561198335544686,100,0,2,True,False,800,0,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10865,demo1,1,76561198000399858,100,100,0,True,False,850,150,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10865,demo1,1,76561198321262942,100,0,2,True,False,800,0,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10865,demo1,1,76561198298247531,100,100,0,True,False,850,150,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10865,demo1,1,76561198055688473,100,100,1,True,False,900,100,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
10865,demo1,1,76561198839012235,100,100,0,True,False,850,150,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11377,demo1,1,76561198335544686,100,0,2,True,False,800,0,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11377,demo1,1,76561198111401075,100,0,1,True,False,700,300,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11377,demo1,1,76561198079077881,100,100,0,True,False,850,150,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11377,demo1,1,76561198093070343,100,100,0,True,False,850,150,False,False,True,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11377,demo1,1,76561198063258189,100,0,1,True,False,800,0,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11377,demo1,1,76561198000399858,100,100,0,True,False,850,150,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11377,demo1,1,76561198321262942,100,0,2,True,False,800,0,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11377,demo1,1,76561198298247531,100,100,0,True,False,850,150,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11377,demo1,1,76561198055688473,100,100,1,True,False,900,100,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11377,demo1,1,76561198839012235,100,100,0,True,False,850,150,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11889,demo1,1,76561198079077881,100,100,0,True,False,850,150,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11889,demo1,1,76561198093070343,100,100,0,True,False,850,150,False,False,True,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11889,demo1,1,76561198335544686,100,0,2,True,False,800,0,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11889,demo1,1,76561198111401075,100,0,1,True,False,700,300,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11889,demo1,1,76561198063258189,100,0,1,True,False,800,0,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
11889,demo1,1,76561198055688473,100,100,1,True,False,900,100,False,False,False,2022-06-15 00:30:04.359887,2022-06-15 00:30:04.359887
